    0.26899E-03    0.15203E+04
    0.27442E-03    0.15493E+04
    0.27997E-03    0.15789E+04
    0.28562E-03    0.16090E+04
    0.29139E-03    0.16397E+04
    0.29728E-03    0.16710E+04
    0.30328E-03    0.17029E+04
    0.30941E-03    0.17354E+04
    0.31566E-03    0.17685E+04
    0.32204E-03    0.18022E+04
    0.32854E-03    0.18366E+04
    0.33518E-03    0.18716E+04
    0.34195E-03    0.19072E+04
    0.34886E-03    0.19436E+04
    0.35591E-03    0.19806E+04
    0.36310E-03    0.20183E+04
    0.37043E-03    0.20567E+04
    0.37792E-03    0.20958E+04
    0.38555E-03    0.21357E+04
    0.39334E-03    0.21763E+04
    0.40128E-03    0.22177E+04
    0.40939E-03    0.22598E+04
    0.41766E-03    0.23027E+04
    0.42610E-03    0.23465E+04
    0.43471E-03    0.23910E+04
    0.44349E-03    0.24364E+04
    0.45245E-03    0.24826E+04
    0.46159E-03    0.25296E+04
    0.47091E-03    0.25776E+04
    0.48042E-03    0.26264E+04
    0.49013E-03    0.26761E+04
    0.50003E-03    0.27268E+04
    0.51013E-03    0.27784E+04
    0.52044E-03    0.28309E+04
    0.53095E-03    0.28844E+04
    0.54168E-03    0.29389E+04
    0.55262E-03    0.29944E+04
    0.56378E-03    0.30509E+04
    0.57517E-03    0.31084E+04
    0.58679E-03    0.31670E+04
    0.59865E-03    0.32266E+04
    0.61074E-03    0.32873E+04
    0.62308E-03    0.33492E+04
    0.63566E-03    0.34121E+04
    0.64851E-03    0.34762E+04
    0.66161E-03    0.35415E+04
    0.67497E-03    0.36079E+04
    0.68861E-03    0.36755E+04
    0.70252E-03    0.37443E+04
    0.71671E-03    0.38144E+04
    0.73119E-03    0.38857E+04
    0.74596E-03    0.39583E+04
    0.76103E-03    0.40322E+04
    0.77640E-03    0.41074E+04
    0.79209E-03    0.41840E+04
    0.80809E-03    0.42619E+04
    0.82441E-03    0.43411E+04
    0.84107E-03    0.44218E+04
    0.85806E-03    0.45039E+04
    0.87539E-03    0.45874E+04
    0.89307E-03    0.46724E+04
    0.91112E-03    0.47588E+04
    0.92952E-03    0.48468E+04
    0.94830E-03    0.49363E+04
    0.96746E-03    0.50273E+04
    0.98700E-03    0.51199E+04
    0.10069E-02    0.52141E+04
    0.10273E-02    0.53099E+04
    0.10480E-02    0.54073E+04
    0.10692E-02    0.55064E+04
    0.10908E-02    0.56071E+04
    0.11128E-02    0.57096E+04
    0.11353E-02    0.58138E+04
    0.11583E-02    0.59197E+04
    0.11817E-02    0.60274E+04
    0.12055E-02    0.61368E+04
    0.12299E-02    0.62481E+04
    0.12547E-02    0.63612E+04
    0.12801E-02    0.64762E+04
    0.13059E-02    0.65930E+04
    0.13323E-02    0.67117E+04
    0.13592E-02    0.68324E+04
    0.13867E-02    0.69550E+04
    0.14147E-02    0.70795E+04
    0.14433E-02    0.72060E+04
    0.14724E-02    0.73345E+04
    0.15022E-02    0.74650E+04
    0.15325E-02    0.75976E+04
